Date,Time,Open,High,Low,Close,Volume
2024.02.22,17:00:00,189.992,190.029,189.843,189.938,10884
2024.02.22,18:00:00,189.937,190.508,189.936,190.457,7884
2024.02.22,19:00:00,190.459,190.648,190.401,190.606,6447
2024.02.22,20:00:00,190.606,190.622,190.481,190.596,5957
2024.02.22,21:00:00,190.596,190.631,190.545,190.572,6945
2024.02.22,22:00:00,190.57,190.589,190.498,190.541,4569
2024.02.22,23:00:00,190.54,190.606,190.516,190.556,4153
2024.02.23,0:00:00,190.556,190.564,190.452,190.498,1206
2024.02.23,1:00:00,190.502,190.555,190.479,190.512,1568
2024.02.23,2:00:00,190.508,190.547,190.39,190.408,5974
2024.02.23,3:00:00,190.408,190.541,190.401,190.506,7197
2024.02.23,4:00:00,190.507,190.556,190.482,190.551,6686
2024.02.23,5:00:00,190.552,190.569,190.462,190.562,5671
2024.02.23,6:00:00,190.562,190.645,190.541,190.636,3582
2024.02.23,7:00:00,190.636,190.722,190.634,190.683,4748
2024.02.23,8:00:00,190.682,190.746,190.652,190.687,5322
2024.02.23,9:00:00,190.684,190.75,190.63,190.741,5580
2024.02.23,10:00:00,190.741,190.895,190.704,190.79,7246
2024.02.23,11:00:00,190.789,190.945,190.661,190.777,5778
2024.02.23,12:00:00,190.776,191.046,190.766,191.019,5926
2024.02.23,13:00:00,191.02,191.133,190.984,191.026,5980
2024.02.23,14:00:00,191.025,191.089,190.956,191.009,7061
2024.02.23,15:00:00,191.009,191.017,190.776,190.997,7181
2024.02.23,16:00:00,190.996,191.007,190.771,190.794,8895
2024.02.23,17:00:00,190.797,190.853,190.687,190.821,8867
2024.02.23,18:00:00,190.82,190.837,190.494,190.593,7604
2024.02.23,19:00:00,190.59,190.721,190.526,190.682,6393
2024.02.23,20:00:00,190.678,190.753,190.652,190.673,5958
2024.02.23,21:00:00,190.672,190.697,190.589,190.686,6382
2024.02.23,22:00:00,190.688,190.712,190.605,190.662,3343
2024.02.23,23:00:00,190.66,190.733,190.615,190.713,2705
2024.02.26,0:00:00,190.678,190.695,190.497,190.6,946
2024.02.26,1:00:00,190.621,190.784,190.621,190.677,2763
2024.02.26,2:00:00,190.675,190.675,190.343,190.39,5633
2024.02.26,3:00:00,190.389,190.472,190.322,190.449,5719
2024.02.26,4:00:00,190.451,190.519,190.449,190.491,4095
2024.02.26,5:00:00,190.491,190.497,190.45,190.469,2546
2024.02.26,6:00:00,190.47,190.675,190.433,190.611,3908
2024.02.26,7:00:00,190.612,190.614,190.473,190.54,3114
2024.02.26,8:00:00,190.539,190.59,190.462,190.507,4659
2024.02.26,9:00:00,190.508,190.714,190.482,190.712,5006
2024.02.26,10:00:00,190.711,190.809,190.533,190.791,5519
2024.02.26,11:00:00,190.794,191.011,190.742,190.987,4583
2024.02.26,12:00:00,190.991,191.111,190.922,190.973,3775
2024.02.26,13:00:00,190.971,191.291,190.902,191.277,3611
2024.02.26,14:00:00,191.277,191.307,191.013,191.029,4474
2024.02.26,15:00:00,191.028,191.273,191.018,191.266,7038
2024.02.26,16:00:00,191.264,191.301,191.084,191.091,8230
2024.02.26,17:00:00,191.088,191.233,191.04,191.192,6758
2024.02.26,18:00:00,191.192,191.248,191.092,191.202,6841
2024.02.26,19:00:00,191.202,191.265,191.029,191.111,6001
2024.02.26,20:00:00,191.109,191.144,191.053,191.089,6603
2024.02.26,21:00:00,191.089,191.144,191.05,191.123,5853
2024.02.26,22:00:00,191.122,191.189,191.092,191.124,3929
2024.02.26,23:00:00,191.123,191.18,191.09,191.15,1911
2024.02.27,0:00:00,191.149,191.155,190.939,191.084,1124
2024.02.27,1:00:00,191.089,191.114,190.918,190.971,2477
2024.02.27,2:00:00,190.968,190.974,190.849,190.887,5558
2024.02.27,3:00:00,190.884,190.914,190.783,190.815,3818
2024.02.27,4:00:00,190.818,190.85,190.74,190.774,5602
2024.02.27,5:00:00,190.771,190.803,190.707,190.72,2996
2024.02.27,6:00:00,190.72,190.854,190.711,190.842,4371
2024.02.27,7:00:00,190.843,190.87,190.753,190.847,5777
2024.02.27,8:00:00,190.85,190.869,190.787,190.822,4957
2024.02.27,9:00:00,190.822,190.934,190.745,190.799,6837
2024.02.27,10:00:00,190.799,190.799,190.512,190.555,6208
2024.02.27,11:00:00,190.554,190.671,190.478,190.666,5510
2024.02.27,12:00:00,190.665,190.665,190.394,190.582,4934
2024.02.27,13:00:00,190.581,190.786,190.524,190.693,4804
2024.02.27,14:00:00,190.693,190.776,190.394,190.483,4678
2024.02.27,15:00:00,190.482,190.567,190.356,190.567,8347
2024.02.27,16:00:00,190.566,190.676,190.516,190.516,7674
2024.02.27,17:00:00,190.508,190.84,190.459,190.782,8677
2024.02.27,18:00:00,190.779,190.961,190.722,190.941,7495
2024.02.27,19:00:00,190.944,190.982,190.772,190.81,7268
2024.02.27,20:00:00,190.809,190.905,190.737,190.851,8059
2024.02.27,21:00:00,190.846,190.925,190.833,190.86,6225
2024.02.27,22:00:00,190.859,190.893,190.81,190.827,4022
2024.02.27,23:00:00,190.826,190.951,190.823,190.902,2466
2024.02.28,0:00:00,190.881,190.934,190.777,190.874,1757
2024.02.28,1:00:00,190.878,190.886,190.82,190.84,1424
2024.02.28,2:00:00,190.841,190.871,190.664,190.828,4189
2024.02.28,3:00:00,190.83,190.83,190.615,190.635,4858
2024.02.28,4:00:00,190.635,190.678,190.553,190.636,3650
2024.02.28,5:00:00,190.634,190.698,190.589,190.686,3077
2024.02.28,6:00:00,190.686,190.783,190.657,190.768,3736
2024.02.28,7:00:00,190.768,190.774,190.619,190.637,3258
2024.02.28,8:00:00,190.636,190.691,190.631,190.674,4607
2024.02.28,9:00:00,190.674,190.833,190.585,190.824,4831
2024.02.28,10:00:00,190.824,190.87,190.442,190.512,5219
2024.02.28,11:00:00,190.513,190.562,190.269,190.307,6378
2024.02.28,12:00:00,190.305,190.599,190.257,190.575,5121
2024.02.28,13:00:00,190.576,190.655,190.445,190.59,4147
2024.02.28,14:00:00,190.578,190.627,190.326,190.377,4608
2024.02.28,15:00:00,190.377,190.598,190.331,190.548,9452
2024.02.28,16:00:00,190.545,190.807,190.473,190.746,8519
2024.02.28,17:00:00,190.747,190.815,190.618,190.813,6956
2024.02.28,18:00:00,190.814,190.879,190.726,190.868,7269
2024.02.28,19:00:00,190.867,190.922,190.679,190.772,4975
2024.02.28,20:00:00,190.768,190.782,190.671,190.744,4300
2024.02.28,21:00:00,190.743,190.747,190.62,190.667,5062
2024.02.28,22:00:00,190.668,190.817,190.629,190.771,4018
2024.02.28,23:00:00,190.77,190.814,190.739,190.784,1997
2024.02.29,0:00:00,190.779,190.779,190.556,190.704,2831
2024.02.29,1:00:00,190.707,190.742,190.576,190.742,1539
2024.02.29,2:00:00,190.743,190.744,190.563,190.623,3840
2024.02.29,3:00:00,190.62,190.626,190.108,190.145,5310
2024.02.29,4:00:00,190.145,190.169,189.677,189.74,6335
2024.02.29,5:00:00,189.741,189.829,189.64,189.765,5936
2024.02.29,6:00:00,189.767,189.841,189.642,189.779,4016
2024.02.29,7:00:00,189.781,190.054,189.593,189.868,5514
2024.02.29,8:00:00,189.864,189.872,189.609,189.636,5222
2024.02.29,9:00:00,189.634,189.677,189.376,189.381,6786
2024.02.29,10:00:00,189.381,189.792,189.349,189.533,8502
2024.02.29,11:00:00,189.533,189.795,189.514,189.738,7580
2024.02.29,12:00:00,189.738,190.023,189.731,189.981,5372
2024.02.29,13:00:00,189.98,190.027,189.685,189.72,5043
2024.02.29,14:00:00,189.718,189.775,189.577,189.716,4676
2024.02.29,15:00:00,189.714,189.757,189.444,189.493,9728
2024.02.29,16:00:00,189.495,189.737,189.333,189.378,9146
2024.02.29,17:00:00,189.378,189.404,189.035,189.283,10584
2024.02.29,18:00:00,189.285,189.388,189.162,189.339,9213
2024.02.29,19:00:00,189.339,189.392,189.22,189.24,6321
2024.02.29,20:00:00,189.241,189.253,189.109,189.198,5290
2024.02.29,21:00:00,189.197,189.268,189.117,189.144,5663
2024.02.29,22:00:00,189.143,189.27,189.111,189.236,4995
2024.02.29,23:00:00,189.234,189.358,189.223,189.32,3572
2024.03.01,0:00:00,189.319,189.364,189.12,189.316,2257
2024.03.01,1:00:00,189.329,189.561,189.277,189.472,2585
2024.03.01,2:00:00,189.473,189.753,189.465,189.656,4755
2024.03.01,3:00:00,189.655,189.956,189.655,189.955,4067
